Strategic Mineral, Desc, Country, Production Share %
Aluminum, used in almost all sectors of the economy, China, 57.97
Antimony, used in lead-acid batteries and flame retardants, China, 54.55
Arsenic, used in semi-conductors, China, 45.9
Barite, used in hydrocarbon production, India, 32.91
Beryllium, used as an alloying agent in aerospace and defense industries, USA, 64.29
Bismuth, used in medical and atomic research, China, 80.0
Cerium, "used in catalytic converters, ceramics, glass, metallurgy, and polishing compounds", China, 97
Cesium, used in research and development, Canada
Chromium, used primarily in stainless steel and other alloys, South Africa, 43.9
Cobalt, used in rechargeable batteries and superalloys, DR Congo, 68.42
Dysprosium, "used in permanent magnets, data storage devices, and lasers", China, 90.0
Erbium, "used in fiber optics, optical amplifiers, lasers, and glass colorants", China, 97
Europium, used in phosphors and nuclear control rods, China, 97
Fluorspar, "used in the manufacture of aluminum, cement, steel, gasoline, and fluorine chemicals", China, 68.67
Gadolinium, "used in medical imaging, permanent magnets, and steelmaking", China, 97
Gallium, used for integrated circuits and optical devices like LEDs, China, 98.18
Germanium, used for fiber optics and night vision applications, China, 60.0
Graphite , "used for lubricants, batteries, and fuel cells", China, 65.38
Hafnium, "used for nuclear control rods, alloys, and high-temperature ceramics", France, 45.0
Holmium, "used in permanent magnets, nuclear control rods, and lasers", China, 97
Indium, "used in liquid crystal display screens", China, 58.89
Iridium, used as coating of anodes for electrochemical processes and as a chemical catalyst, South Africa, 90
Lanthanum, "used to produce catalysts, ceramics, glass, polishing compounds, metallurgy, and batteries", China, 42.6
Lithium, used for rechargeable batteries, Australia, 46.92
Lutetium, "used in scintillators for medical imaging, electronics, and some cancer therapies", China, 50
Magnesium, used as an alloy and for reducing metals, China, 90.0
Manganese, used in steelmaking and batteries, South Africa, 36.0
Neodymium, "used in permanent magnets, rubber catalysts, and in medical and industrial lasers", China, 90.0
Nickel, "used to make stainless steel, superalloys, and rechargeable batteries", Indonesia, 48.48
Niobium, used mostly in steel and superalloys, Brazil, 89.87
Palladium, used in catalytic converters and as a catalyst agent, Russia, 41.9
Platinum, used in catalytic converters, South Africa, 73.68
Praseodymium, "used in permanent magnets, batteries, aerospace alloys, ceramics, and colorants", China, 70.0
Rhodium, "used in catalytic converters, electrical components, and as a catalyst", South Africa, 80.0
Rubidium, used for research and development in electronics, Canada, 12.0
Ruthenium, "used as catalysts, as well as electrical contacts and chip resistors in computers", South Africa, 91.0
Samarium, "used in permanent magnets, as an absorber in nuclear reactors, and in cancer treatments", China, 90.0
Scandium, "used for alloys, ceramics, and fuel cells", China, 97.0
Tantalum, "used in electronic components, mostly capacitors and in superalloys", DR Congo, 43.0
Tellurium, "used in solar cells, thermoelectric devices, and as alloying additive", China, 53.13
Terbium, "used in permanent magnets, fiber optics, lasers, and solid-state devices", China, 90.0
Thulium, "used in various metal alloys and in lasers", China, 50.0
Tin, used as protective coatings and alloys for steel, China, 30.65
Titanium, used as a white pigment or metal alloys, China, 50.0
Tungsten, primarily used to make wear-resistant metals, China, 84.52
Vanadium, primarily used as alloying agent for iron and steel, China, 70.0
Ytterbium, "used for catalysts, scintillometers, lasers, and metallurgy", China, 50
Yttrium, "used for ceramic, catalysts, lasers, metallurgy, and phosphors", China, 97.0
Zinc, primarily used in metallurgy to produce galvanized steel, China, 32.21
Zirconium, used in the high-temperature ceramics and corrosion-resistant alloys, Australia, 70.0
